"shortZip","state","democratContribution","republicanContribution"
"94304","CA",37927.54,54650
"34145","FL",23925.04,68641.89
"30062","GA",39270.02,53266.5
"91356","CA",65753.75,26759.61
"85028","AZ",28783.02,63604.68
"20904","MD",72477.02,19707.45
"95628","CA",62772.03,29340.66
"89509","NV",50286.13,41821.8
"94619","CA",87049.45,4926
"80503","CO",65956.06,26008.89
"30326","GA",44952.15,46977.84
"89144","NV",45896.23,46000
"06405","CT",71620.8,20221.45
"85750","AZ",49315.36,42469.75
"68114","NE",69657.99,22096.31
"32162","FL",34542.24,57169.83
"11746","NY",74631.84,17077.41
"15222","PA",50607.44,40930
"94609","CA",87407.98,3860
"77354","TX",3819.69,87364.87
"14226","NY",54220.61,36920
"55410","MN",75891.94,15166.76
"02129","MA",77142.81,13800
"32309","FL",44970.12,45812.39
"97401","OR",62670.01,27983.71
"20906","MD",74614.01,15852.37
"75244","TX",23033.91,67429.75
"33305","FL",71637.35,18753.64
